year;unemployment
1991;8.59
1992;9.24
1993;10.86
1994;11.55
1995;11.11
1996;11.14
1997;10.96
1998;10.53
1999;10.21
2000;9.71
2001;9.21
2002;9.56
2003;9.7
2004;9.86
2005;9.63
2006;8.69
2007;7.5
2008;7.24
2009;9.21
2010;9.87
2011;9.93
2012;10.88
2013;11.35
2014;10.83
2015;10.02
2016;9.11
2017;8.14
2018;7.26
2019;6.69
2020;7.05
2021;7.01
2022;6.14
2023;6.03
2024;5.92
